"","ASV","Feature.ID","Kingdom","Phylum","Class","Order","Family","Genus","Species","Consensus"
"3532","ASV4456","bc54be89318fd3c270d081a72c875662","d__Eukaryota"," p__Ascomycota"," c__Dothideomycetes"," o__Venturiales"," f__Sympoventuriaceae"," g__Ochroconis",NA,0.7
"3533","ASV4666","bc5622e34796229d6b76adce6ae93261","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales"," f__Bulleribasidiaceae"," g__Derxomyces",NA,0.7
"3534","ASV2188","bc577770e94caf068fc932d3125cff89","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes"," o__Auriculariales"," f__Auriculariaceae"," g__Auricularia"," s__Auricularia_polytricha",0.7
"3535","ASV2628","bc6ce3ed7578d6f402406df2ae6d74bc","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales"," f__Apiosporaceae"," g__Arthrinium",NA,0.8
"3536","ASV3029","bc70c896d73763dfef042c69f9f891dd","d__Eukaryota"," p__Ascomycota"," c__Leotiomycetes"," o__Helotiales",NA,NA,NA,0.7
"3537","ASV73","bc7582ee4b880fd00ae4e2a7814eed9f","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Xylariales",NA,NA,NA,0.8
"3538","ASV2682","bc86853b323556771a6c0a66fe35b6a7","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,0.9
"3539","ASV1691","bc8cadf06970057e101a6a753ccebdcf","d__Eukaryota"," p__Ascomycota"," c__Saccharomycetes"," o__Saccharomycetales"," f__Metschnikowiaceae"," g__Clavispora-Candida_clade",NA,1
"3540","ASV3925","bc9a2d30c16d356f86fcd04e28b7653c","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
"3541","ASV3086","bcafec0454fdc7565339912dd0d84729","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.8
"3542","ASV122","bcb0f061e5404ddc739aa7850c915b8f","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3543","ASV741","bcb9e4308b1231a06f3b21ef37c6a514","d__Eukaryota"," p__Ascomycota",NA,NA,NA,NA,NA,1
"3544","ASV4704","bcc8a3f747e6e9d8bffa1749891fc6bc","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes"," o__Sordariales",NA,NA,NA,0.6
"3545","ASV1571","bcdbe5893ecc2b994122ef8eb4536597","d__Eukaryota"," p__Basidiomycota"," c__Agaricomycetes",NA,NA,NA,NA,0.6
"3546","ASV2890","bcf5009b8953202ff689f366f684c175","d__Eukaryota"," p__Basidiomycota"," c__Exobasidiomycetes",NA,NA,NA,NA,1
"3547","ASV4531","bd0deba601e4197d79edb44b2f1965bb","d__Eukaryota"," p__Basidiomycota"," c__Tremellomycetes"," o__Tremellales",NA,NA,NA,0.8
"3548","ASV4324","bd1b0ca5c3ff4a8a35d23f91646e5483","d__Eukaryota"," p__Ascomycota"," c__Sordariomycetes",NA,NA,NA,NA,1
